日期,特定五大買,特定五大賣,特定五大淨,外資淨額,投信淨額,大外資,小外資
2026/02/02,39048,35370,3678,-27673,25400,-21722,-5951
2026/02/03,40513,36195,4318,-26496,26179,-21861,-4635
2026/02/04,39752,35085,4667,-25699,26441,-21774,-3925
2026/02/05,39678,34723,4955,-26743,26085,-21130,-5613
2026/02/06,38368,34224,4144,-25102,25859,-21715,-3387
2026/02/09,40753,30923,9830,-23585,26848,-17018,-6567
2026/02/10,42234,33463,8771,-24884,28187,-19416,-5468
2026/02/11,43469,38049,5420,-27665,28915,-23495,-4170
2026/02/23,40504,36408,4096,-30852,29243,-25147,-5705
2026/02/24,44080,36658,7422,-29372,30179,-22757,-6615
2026/02/25,43857,38622,5235,-35753,31037,-25802,-9951
2026/02/26,44117,38127,5990,-36168,31248,-25258,-10910
2026/03/02,39465,38332,1133,-41274,31445,-30312,-10962
2026/03/03,39101,38769,332,-40421,30693,-30361,-10060
2026/03/04,37696,41252,-3556,-41633,30549,-34105,-7528
2026/03/05,37230,38504,-1274,-41134,32091,-33365,-7769
2026/03/06,37392,38464,-1072,-38930,32366,-33438,-5492
